"automated_textmining","coexpression","combined_score","database_annotated","EdgeBetweenness","experimentally_determined_interaction","gene_fusion","homology","interaction","name","phylogenetic_cooccurrence","selected","shared interaction","shared name"
"0.415","0.089","0.422","0.0","683.2255740296149","0.103","0","0.554","interacts with","ARSJ (interacts with) SULF1",,"false","interacts with","ARSJ (interacts with) SULF1"
"0.448","0.0","0.508","0.0","646.2301828657655","0.145","0","0.0","interacts with","ARSJ (interacts with) LCAT","0","false","interacts with","ARSJ (interacts with) LCAT"
"0.608","0.054","0.626","0.0","199.2568348742861","0.074","0","0.0","interacts with","ARSJ (interacts with) NDST2","0","false","interacts with","ARSJ (interacts with) NDST2"
"0.417","0.0","0.417","0.0","995.9303540350772","0.0","0","0.0","interacts with","ARSJ (interacts with) FLRT2","0","false","interacts with","ARSJ (interacts with) FLRT2"
"0.408","0.147","0.474","0.0","185.4687200903498","0.0","0","0.0","interacts with","ASNS (interacts with) SLC7A1","0","false","interacts with","ASNS (interacts with) SLC7A1"
"0.382","0.052","0.499","0.0","1302.4209427183712","0.212","0","0.0","interacts with","ASNS (interacts with) P4HB","0","false","interacts with","ASNS (interacts with) P4HB"
"0.237","0.066","0.501","0.0","323.15628100167976","0.272","0","0.0","interacts with","ASNS (interacts with) MAT2A","0","false","interacts with","ASNS (interacts with) MAT2A"
"0.445","0.097","0.546","0.0","814.0","0.0","0","0.0","interacts with","ASNS (interacts with) LGSN","0","false","interacts with","ASNS (interacts with) LGSN"
"0.649","0.0","0.649","0.0","814.0","0.0","0","0.0","interacts with","ASNS (interacts with) FGD6","0","false","interacts with","ASNS (interacts with) FGD6"
"0.049","0.084","0.668","0.65","312.6633207564466","0.0","0","0.0","interacts with","ASNS (interacts with) EIF2S3","0","false","interacts with","ASNS (interacts with) EIF2S3"
"0.695","0.133","0.725","0.0","675.5075496110896","0.0","0","0.0","interacts with","ASNS (interacts with) CARS","0","false","interacts with","ASNS (interacts with) CARS"
"0.245","0.093","0.925","0.9","516.9767902259726","0.0","0","0.0","interacts with","ASNS (interacts with) CEBPG","0","false","interacts with","ASNS (interacts with) CEBPG"
"0.151","0.524","0.579","0.0","114.61865476339402","0.0","0","0.0","interacts with","ASPM (interacts with) MYBL2","0","false","interacts with","ASPM (interacts with) MYBL2"
"0.275","0.919","0.978","0.0","45.36740118947948","0.669","0","0.0","interacts with","ASPM (interacts with) NCAPH","0","false","interacts with","ASPM (interacts with) NCAPH"
"0.0","0.808","0.822","0.0","66.80444420137526","0.111","0","0.0","interacts with","ASPM (interacts with) MND1","0","false","interacts with","ASPM (interacts with) MND1"
"0.558","0.982","0.992","0.0","51.81574850588011","0.0","0","0.0","interacts with","ASPM (interacts with) DLGAP5","0","false","interacts with","ASPM (interacts with) DLGAP5"
"0.528","0.991","0.995","0.0","82.1175367285408","0.0","0","0.0","interacts with","ASPM (interacts with) NCAPG","0","false","interacts with","ASPM (interacts with) NCAPG"
