"group","MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","selected","shared name"
"-1","Cluster 9","Clustered","2.0","TEF","false","TEF"
"1",,"Unclustered","0.2857142857142857","FBXW11","false","FBXW11"
"-1","Cluster 9","Seed","2.0","RORB","false","RORB"
"1",,"Unclustered","0.6666666666666666","BICD2","false","BICD2"
"-1",,"Unclustered","1.0666666666666667","DYNC2H1","false","DYNC2H1"
"1","Cluster 6","Clustered","2.0","KIF1A","false","KIF1A"
"1",,"Unclustered","0.6666666666666666","BROX","false","BROX"
"1",,"Unclustered","0.5","DDAH1","false","DDAH1"
"-1",,"Unclustered","0.6666666666666666","HPS6","false","HPS6"
,,"Unclustered","0.0","C3orf17","false","C3orf17"
"-1","Cluster 7","Clustered","2.0","SLC18A2","false","SLC18A2"
"1",,"Unclustered","0.0","CA3","false","CA3"
"1",,"Unclustered","0.6666666666666666","SLC2A5","false","SLC2A5"
"-1",,"Unclustered","0.0","CAPS","false","CAPS"
"-1",,"Unclustered","0.6666666666666666","RANBP3","false","RANBP3"
"-1",,"Unclustered","0.0","CARNS1","false","CARNS1"
"-1","Cluster 5","Clustered","3.0","GLS","false","GLS"
"1",,"Unclustered","0.5","CASP10","false","CASP10"
"1",,"Unclustered","2.7","EIF4G2","false","EIF4G2"
"1",,"Unclustered","0.0","CAST","false","CAST"
"-1",,"Unclustered","0.0","CBLN4","false","CBLN4"
"-1",,"Unclustered","0.0","CCDC14","false","CCDC14"
"1",,"Unclustered","0.5","CCP110","false","CCP110"
"1",,"Unclustered","2.0","CCND3","false","CCND3"
"-1",,"Unclustered","0.5","RBL2","false","RBL2"
"1",,"Unclustered","2.0","CCNK","false","CCNK"
"1",,"Unclustered","1.6666666666666667","TCEA1","false","TCEA1"
"1",,"Unclustered","0.4","USP33","false","USP33"
"1",,"Unclustered","0.4","RAB3IP","false","RAB3IP"
"1",,"Unclustered","1.6666666666666667","CNOT2","false","CNOT2"
"1",,"Unclustered","5.0","NUDC","false","NUDC"
"1",,"Unclustered","5.0","TUBA1B","false","TUBA1B"
"-1",,"Unclustered","2.0","HUWE1","false","HUWE1"
"-1","Cluster 4","Clustered","4.0","TFB2M","false","TFB2M"
"-1",,"Unclustered","3.0","STK24","false","STK24"
"1",,"Unclustered","0.8571428571428571","HNRNPM","false","HNRNPM"
"1",,"Unclustered","2.0","SNX18","false","SNX18"
,"Cluster 3","Seed","5.0","LRRC16A","false","LRRC16A"
"1",,"Unclustered","4.0","CD58","false","CD58"
"-1",,"Unclustered","0.6666666666666666","PSEN2","false","PSEN2"
"-1",,"Unclustered","1.6666666666666667","PLCE1","false","PLCE1"
"-1","Cluster 2","Clustered","8.454545454545455","ITGAX","true","ITGAX"
"-1",,"Unclustered","2.0","EPB41L2","false","EPB41L2"
"1",,"Unclustered","0.6666666666666666","SLAMF9","false","SLAMF9"
"-1","Cluster 2","Seed","9.0","DCN","true","DCN"
"1","Cluster 1","Clustered","6.0","MMP8","false","MMP8"
"-1",,"Unclustered","3.0","SOX4","false","SOX4"
"-1",,"Unclustered","3.0","TBX3","false","TBX3"
"-1","Cluster 2","Clustered","8.590909090909092","SELE","true","SELE"
"1","Cluster 3","Clustered","4.0","MUC4","false","MUC4"
"-1",,"Unclustered","3.7333333333333334","PTCH1","false","PTCH1"
"1",,"Unclustered","2.0","FLG","false","FLG"
"1",,"Unclustered","2.0","EPB41L1","false","EPB41L1"
"1",,"Unclustered","4.0","RUNX3","false","RUNX3"
"1",,"Unclustered","2.0","DAPK1","false","DAPK1"
"-1",,"Unclustered","3.7333333333333334","TWIST2","false","TWIST2"
"-1","Cluster 1","Clustered","6.805555555555555","PGR","false","PGR"
"-1",,"Unclustered","4.0","LEF1","false","LEF1"
"-1",,"Unclustered","3.0","TSPAN8","false","TSPAN8"
"1",,"Unclustered","0.6666666666666666","SKIL","false","SKIL"
"-1",,"Unclustered","2.0","ZBTB33","false","ZBTB33"
"-1",,"Unclustered","0.0","CLDN10","false","CLDN10"
"1",,"Unclustered","3.0","PDE4A","false","PDE4A"
"-1","Cluster 3","Clustered","4.0","MUC5B","false","MUC5B"
"1",,"Unclustered","0.4","SCNN1A","false","SCNN1A"
"-1",,"Unclustered","1.2","TIMM13","false","TIMM13"
"-1",,"Unclustered","0.6666666666666666","CHD1L","false","CHD1L"
,,"Unclustered","0.6666666666666666","H2AFY","false","H2AFY"
"-1",,"Unclustered","0.0","CLCA2","false","CLCA2"
"-1",,"Unclustered","0.5","TRIM29","false","TRIM29"
"1",,"Unclustered","0.0","CLEC5A","false","CLEC5A"
"1",,"Unclustered","2.0","MARCO","false","MARCO"
"1",,"Unclustered","2.0","CLIP4","false","CLIP4"
"-1",,"Unclustered","3.0","DDX6","false","DDX6"
"-1",,"Unclustered","2.1999999999999997","EIF4A2","false","EIF4A2"
"1",,"Unclustered","1.4","CNOT6L","false","CNOT6L"
"1",,"Unclustered","0.0","TTC17","false","TTC17"
"1",,"Unclustered","2.0","SAMD4A","false","SAMD4A"
"-1",,"Unclustered","0.0","CNTN4","false","CNTN4"
"-1",,"Unclustered","0.0","LRRC17","false","LRRC17"
"1","Cluster 1","Clustered","6.0","FSTL1","false","FSTL1"
"1","Cluster 1","Clustered","6.805555555555555","COL6A1","false","COL6A1"
"1",,"Unclustered","2.0","SMAD6","false","SMAD6"
"1",,"Unclustered","0.0","RASAL1","false","RASAL1"
"-1",,"Unclustered","0.8571428571428571","IHH","false","IHH"
,,"Unclustered","6.0","WISP1","false","WISP1"
"-1",,"Unclustered","3.0","MATN2","false","MATN2"
"-1",,"Unclustered","1.6666666666666667","HOXA11","false","HOXA11"
"-1",,"Unclustered","0.6666666666666666","CYP2R1","false","CYP2R1"
"-1",,"Unclustered","1.6666666666666667","TACO1","false","TACO1"
"-1",,"Unclustered","0.0","NCOA7","false","NCOA7"
"1",,"Unclustered","0.6666666666666666","CPEB2","false","CPEB2"
"-1",,"Unclustered","0.0","CRISP3","false","CRISP3"
"1",,"Unclustered","2.0","CWF19L2","false","CWF19L2"
"-1",,"Unclustered","1.6666666666666667","SYF2","false","SYF2"
"1",,"Unclustered","0.6666666666666666","MSANTD4","false","MSANTD4"
"-1","Cluster 2","Clustered","7.2727272727272725","KITLG","true","KITLG"
