"","group","filter","genes","logFC","logCPM","LR","PValue"
"3531",1,"3531","COX6A1",5.22826700730527,7.86691924797331,15.8788477115477,6.75292524745315e-05
"3559",1,"3559","CPEB2",2.96620270409909,4.58639673695101,11.7819790845371,0.000598068672655898
"3649",-1,"3649","CRISP3",-3.03339125032574,3.20907062399629,10.9153696799488,0.000953696826462929
"3862",1,"3862","CWF19L2",2.55897122377685,4.24061911268987,10.7391475685445,0.00104892641190619
"3870",-1,"3870","CXCL12",-2.72462044109565,6.715284789618,14.1683974402473,0.000167154553348033
"3872",-1,"3872","CXCL14",-2.08648827121582,4.24904695987531,11.0500405470699,0.000886852589290258
"3902",-1,"3902","CYB5R1",-2.38116762714715,3.38751834294511,16.5061578786276,4.84923272836686e-05
"3952",-1,"3952","CYP2R1",-2.01433344287295,2.93660261087797,11.5706342183575,0.000670015616363909
"3960",-1,"3960","CYP3A5",-2.24254999381854,3.48387862715026,15.7231855000616,7.33199167884405e-05
"4027",1,"4027","DAPK1",2.86848539343916,4.75368650564927,22.9171957347254,1.69132026681652e-06
"4038",-1,"4038","DAZAP2",-2.48541160993803,6.98290217507922,12.9816187950578,0.000314563883013874
"4088",-1,"4088","DCN",-2.23739861185692,6.81103071563058,15.3760208873762,8.809923464342e-05
"4115",1,"4115","DDAH1",3.94531896936143,6.09136884676061,11.2727865651502,0.000786515774890859
"4138",-1,"4138","DDX10",-2.33136324379286,3.41690725255168,17.1576987353852,3.44012280203957e-05
"4174",-1,"4174","DDX6",-1.97188328488251,5.68139887707092,13.6481994663737,0.000220452618248287
"4317",-1,"4317","DIO2",-2.13171966458513,6.94830863897988,13.3053852269312,0.000264644912548627
"4381",-1,"4381","DLL1",-2.67768383738782,4.10687426995717,10.8258782085943,0.00100091207681452
"4398",1,"4398","DMD",2.47435038359582,3.62055869372394,14.9455880501079,0.000110656515152309
"4541",-1,"4541","DOHH",-2.12675722847682,2.3095908231835,12.9248752346294,0.000324244266219396
"4560",1,"4560","DPEP3",2.05365998207251,2.16677028794764,12.1375237716212,0.000494173476318322
"4614",-1,"4614","DRC3",-1.96454700514653,2.83813884132002,13.2379929441518,0.000274331492298559
"4674",-1,"4674","DUOXA2",-1.82543658606405,2.53831322985572,10.9989911342495,0.000911614951708453
"4679",1,"4679","DUSP1",4.9955195384161,8.39513778018532,14.9133033125039,0.000112566381415052
"4719",-1,"4719","DYNC2H1",-3.04196732563116,3.90512536037413,11.3599651693883,0.00075044231806128
"4810",-1,"4810","EEF1A1",-2.84251950636151,10.9663696661285,11.5635068390164,0.000672588801721334
"4864",1,"4864","EGLN1",3.29572727272784,6.29701798424253,22.4861862598666,2.11660242873434e-06
"4922",-1,"4922","EIF4A2",-4.23915027889421,9.90359905249727,17.1953929117481,3.3725325423984e-05
"4932",1,"4932","EIF4G2",4.04814105661504,9.33037555485768,17.6051296618618,2.71854065460182e-05
"4960",-1,"4960","ELK3",-3.81808764155013,7.03695484058909,15.2807128478031,9.26577777346383e-05
"4969",1,"4969","ELMOD2",2.32328838591342,3.16001632027203,16.6085585591226,4.59432299630262e-05
"5016",-1,"5016","EML3",-1.83337224907083,1.86142305278313,11.3495515512563,0.000754661894944594
"5029",-1,"5029","EN2",-2.45249678235073,3.86839276633001,15.1580348741197,9.88766428108385e-05
"5062",-1,"5062","ENTPD2",-1.92304521120772,1.95371435786226,12.5106035004306,0.000404648873596222
"5086",1,"5086","EPB41L1",2.13018132069832,2.23635365331793,12.2088647537993,0.00047562968210566
"5087",-1,"5087","EPB41L2",-2.3825618046139,6.23424204404877,11.5171359209917,0.000689575520350707
"5089",-1,"5089","EPB41L4A",-1.99048905479696,3.70318957125775,10.7667428066978,0.00103340210243145
"5142",-1,"5142","EPS8L3",-2.08051830504253,2.47904146176716,12.5176340018139,0.000403129060677416
"5167",1,"5167","EREG",1.99517379918402,3.65468592980575,11.5294208514062,0.000685033517022884
"5336",1,"5336","F5",2.07326524593246,2.54206757732944,14.1254084401267,0.000171018093669072
