"","genes","probe_id","logFC","logCPM","LR","PValue","sig","change"
"147","ACER1","1553929_at",0.237424489962212,-0.705858483256439,0.224079392067511,0.635949052010098,"FALSE","NOT"
"148","ACER2","227306_at",-0.109505181698899,3.53893656436013,0.0325097753165497,0.856913386812181,"FALSE","NOT"
"149","ACER3","238945_at",-0.0410836592331824,4.37258650515794,0.00931104253288595,0.9231284427116,"FALSE","NOT"
"150","ACHE","210332_at",1.11631244458325,0.373107671308597,4.36830002004768,0.0366135014722918,"TRUE","NOT"
"151","ACIN1","201715_s_at",0.0249535693264033,5.33439942939749,0.00193504885714901,0.964913020474103,"FALSE","NOT"
"152","ACKR1","208335_s_at",-3.0969711391171,4.86200379523672,14.399484874963,0.000147842747529533,"TRUE","DOWN"
"153","ACKR2","206887_at",0.411025520645125,0.528144347404574,0.473504752265104,0.491379221818006,"FALSE","NOT"
"154","ACKR3","232746_at",-0.853053005779599,6.15313010978222,3.58770852490892,0.0582084548083516,"FALSE","NOT"
"155","ACKR4","220351_at",0.440259464276809,2.51176098294851,0.445388199812442,0.504533200355829,"FALSE","NOT"
"156","ACLY","210337_s_at",0.140331943561156,4.86870486377307,0.063246136261121,0.801436958453201,"FALSE","NOT"
"157","ACMSD","230602_at",-1.0146966891164,-0.593041877053598,2.53136589790785,0.111603571454975,"FALSE","NOT"
"158","ACO1","237622_at",0.259606111769091,5.07333466060504,0.214779118316649,0.643047091619235,"FALSE","NOT"
"159","ACO2","217307_at",0.138151845296722,4.77095762954971,0.0670301683718861,0.795710970096296,"FALSE","NOT"
"160","ACOD1","240287_at",0.732359522605787,0.134947570851004,1.64044156721166,0.200264894122492,"FALSE","NOT"
"161","ACOT11","216103_at",0.668211767194647,1.72774213713144,0.791367061787499,0.373687075917049,"FALSE","NOT"
"162","ACOT12","238160_at",0.837937070690214,-0.350836828339437,2.34425020911186,0.125746051761972,"FALSE","NOT"
"163","ACOT13","204565_at",0.0774753407362373,5.88243843067844,0.019309183172183,0.889483743562836,"FALSE","NOT"
"164","ACOT4","229534_at",0.565113983395106,3.59909447409366,0.994345666338393,0.318682570129805,"FALSE","NOT"
"165","ACOT6","241949_at",0.366152875865864,-2.01872729843212,0.406014204220544,0.523999502140884,"FALSE","NOT"
"166","ACOT7","215728_s_at",-0.745292923493033,4.16429123000238,1.61462884304856,0.203842348166489,"FALSE","NOT"
"167","ACOT8","236514_at",-0.161745784199726,3.89658039402235,0.0902601532067493,0.763846684890423,"FALSE","NOT"
"168","ACOT9","221641_s_at",0.299246620199362,5.72021574064326,0.299566257460306,0.584154466207173,"FALSE","NOT"
"169","ACOX1","227962_at",-0.0527018495493726,4.07687325023612,0.0158071544656977,0.89994841910922,"FALSE","NOT"
"170","ACOX2","205364_at",-0.41912028611412,4.16401392185992,0.426633442034738,0.513645507526331,"FALSE","NOT"
"171","ACOX3","204242_s_at",-0.000608724327029274,4.05031930254985,1.24751930563605e-06,0.99910882374015,"FALSE","NOT"
"172","ACOXL","240189_at",-0.74905560957272,1.68766823249581,1.07691292842308,0.299389182844496,"FALSE","NOT"
"173","ACP1","215227_x_at",1.48577251496593,5.47124114122365,6.24886748481791,0.0124272736865848,"TRUE","NOT"
"174","ACP2","202767_at",0.484129411611639,6.0433404138523,0.761923176775667,0.382727338747326,"FALSE","NOT"
"175","ACP3","237030_at",-0.111724863690769,0.464719188868635,0.0142333984922693,0.905034667070002,"FALSE","NOT"
"176","ACP4","241715_x_at",0.137884295309201,2.40078312744957,0.0688425116845366,0.79302959615089,"FALSE","NOT"
"177","ACP5","204638_at",0.820860078606771,6.11823195733458,2.75972754265763,0.0966646987572732,"FALSE","NOT"
"178","ACP6","242270_at",-0.090205240679548,4.19856483954282,0.0423097982078673,0.837030369919102,"FALSE","NOT"
"179","ACR","207427_at",-0.305926652253578,-0.574464477300849,0.241660327872142,0.623009501980073,"FALSE","NOT"
"180","ACRBP","230833_at",1.47271866473739,1.00187347743312,4.05474319596562,0.0440474180726267,"TRUE","NOT"
"181","ACRV1","208013_s_at",-0.0271758554157816,1.81972861830072,0.00245543330560327,0.960479135904817,"FALSE","NOT"
"182","ACSBG1","206466_at",0.981482707906958,0.0175202360605706,3.57046782176335,0.0588157392155298,"FALSE","NOT"
"183","ACSBG2","221716_s_at",0.18827497308705,-0.644127783632207,0.142774227143303,0.705538484107186,"FALSE","NOT"
"184","ACSF2","218844_at",0.284243525187371,4.72610688861391,0.311113632422121,0.576997618698919,"FALSE","NOT"
"185","ACSF3","235823_at",1.5031105642195,0.765240639189732,6.0775998839384,0.013690665334702,"TRUE","NOT"
"186","ACSL1","207275_s_at",1.23377429157506,6.22167747389835,5.30888989832039,0.0212168713557603,"TRUE","NOT"
"187","ACSL3","201662_s_at",-0.35607035568823,6.24437469925534,0.402262234236616,0.525923251591203,"FALSE","NOT"
"188","ACSL4","202422_s_at",0.390948929969565,2.28178907039157,0.69994386922002,0.402802555643422,"FALSE","NOT"
"189","ACSL5","222592_s_at",-0.409827490804449,6.64490640938148,0.390037002343192,0.532279952386374,"FALSE","NOT"
"190","ACSL6","229725_at",-0.0556917257675488,1.02041983423779,0.0123242299369632,0.911604810158908,"FALSE","NOT"
"191","ACSM1","234197_at",-1.06319563386278,0.649721434929055,2.59375338428951,0.107285824344124,"FALSE","NOT"
"192","ACSM2A","244723_at",0.134847774784448,1.61194151728489,0.0469187178428676,0.828514404448522,"FALSE","NOT"
"193","ACSM2B","241915_at",-0.776532230523749,-1.67432038221551,1.32173225007716,0.250281402460492,"FALSE","NOT"
"194","ACSM3","210377_at",-1.85117121738763,2.27723594038338,5.71127977981921,0.016856246528543,"TRUE","DOWN"
"195","ACSM5","89977_at",-0.698147747155053,1.69648132087658,0.914138475657278,0.339018738615378,"FALSE","NOT"
"196","ACSS1","235724_at",0.0497646843543776,-1.19229251329405,0.0060646889942268,0.937926600664001,"FALSE","NOT"
"197","ACSS2","234312_s_at",-0.016085065498391,4.68732914725456,0.000854723960379999,0.97667663883923,"FALSE","NOT"
"198","ACSS3","229222_at",-0.711980454478989,4.10193968127401,1.34017440247727,0.247003214331245,"FALSE","NOT"
"199","ACTA1","203872_at",-0.670319035399537,0.481779114557381,1.11688237661077,0.290590750597709,"FALSE","NOT"
"200","ACTA2","243140_at",-0.301029449279765,0.917750221230662,0.210068446519499,0.646713761623772,"FALSE","NOT"
"201","ACTA2-AS1","1564257_at",-0.569857831487479,1.96238923151858,0.896142473028547,0.34381816607412,"FALSE","NOT"
"202","ACTB","AFFX-HSAC07/X00351_M_at",-0.162746815724791,11.3068857336421,0.101790824421187,0.749691067435136,"FALSE","NOT"
"203","ACTC1","205132_at",-0.217902312115608,2.91231926560055,0.131840035896975,0.71653180377932,"FALSE","NOT"
"204","ACTG1","224585_x_at",0.0128790548461364,11.4306980757992,0.000521064931717774,0.98178839300623,"FALSE","NOT"
"205","ACTG1P17","1569368_at",-0.215043258314693,1.10142075798759,0.137068007754333,0.711213384487807,"FALSE","NOT"
"206","ACTG1P25","1558577_at",-0.547768800820582,0.233650431836701,0.888413231421173,0.34590766962218,"FALSE","NOT"
"207","ACTG2","241148_at",-2.15381310275522,6.16868598032975,11.3058220998652,0.000772644305876357,"TRUE","DOWN"
"208","ACTL10","232619_at",0.460132590673508,2.32683802657274,0.694097711572345,0.404774084479609,"FALSE","NOT"
"209","ACTL6A","202666_s_at",0.347827775626357,7.27370595904328,0.476860617864482,0.489847779461095,"FALSE","NOT"
"210","ACTL6B","206014_at",-0.399669218890632,-1.0795363208547,0.335466165561698,0.562458001681905,"FALSE","NOT"
"211","ACTL7A","220501_at",-0.257695129310609,-0.779428287378953,0.136998041728292,0.711283793509794,"FALSE","NOT"
"212","ACTL7B","220498_at",0.121919785918979,-1.64631014488581,0.0436619731516928,0.834483776764847,"FALSE","NOT"
"213","ACTL8","214957_at",0.022357765241263,-1.13061516104484,0.00132814249486524,0.970928578220836,"FALSE","NOT"
"214","ACTL9","243208_x_at",-0.583913515682793,-0.0596873637956731,0.595795205491169,0.440186857874358,"FALSE","NOT"
"215","ACTN1","237401_at",2.55790437019226,7.3189608593744,13.944373679768,0.000188300383392072,"TRUE","UP"
"216","ACTN2","203864_s_at",1.09781661632775,0.59378306977798,4.4992065056214,0.0339105857581297,"TRUE","NOT"
"217","ACTN3","206891_at",-0.0465968021320795,1.80442226989632,0.00756783592894417,0.930676830049904,"FALSE","NOT"
"218","ACTN4","200601_at",0.114603154589464,6.15983943049834,0.0456891399172434,0.830741876711784,"FALSE","NOT"
"219","ACTR10","222230_s_at",-0.0195847504830716,8.03762466322135,0.00100960296322228,0.974652081785878,"FALSE","NOT"
"220","ACTR1A","200721_s_at",0.194573045647408,5.34301769928914,0.113333517471794,0.736380429174458,"FALSE","NOT"
"221","ACTR1B","202135_s_at",0.254600380335807,5.66307789960958,0.189467501676319,0.66336018119393,"FALSE","NOT"
"222","ACTR2","234212_at",2.74805236709919,7.68812800712774,12.2240887035667,0.000471764308760322,"TRUE","UP"
"223","ACTR3","239170_at",-1.02370944691478,4.78047628153313,2.17823223023237,0.139975158357922,"FALSE","NOT"
"224","ACTR3-AS1","237075_at",0.193854513812599,1.47036191934118,0.120191982842552,0.728826361902459,"FALSE","NOT"
"225","ACTR3B","218868_at",-0.875273566982494,3.91530566798666,1.51140935161624,0.218924157719266,"FALSE","NOT"
"226","ACTR3BP2","224425_x_at",-0.187455772282638,1.62279958793452,0.0896778375716127,0.764587118572401,"FALSE","NOT"
"227","ACTR3C","241888_at",0.896916710738926,2.21388601611617,2.48976640162524,0.114588731239524,"FALSE","NOT"
"228","ACTR5","222147_s_at",0.118201747537402,4.39656576308224,0.0504159950642347,0.822340986042158,"FALSE","NOT"
"229","ACTR6","241794_at",2.11881801067529,5.2164815053384,5.02784548554823,0.0249429086852831,"TRUE","UP"
"230","ACTR8","222707_s_at",0.0643192783167175,4.41067421840337,0.0124812208324023,0.911045909085841,"FALSE","NOT"
"231","ACTRT2","237360_at",0.104868049648905,-1.39758226383142,0.0354345619168741,0.850687967121767,"FALSE","NOT"
"232","ACTRT3","223665_at",0.453587453751643,2.75300618383633,0.625777492749342,0.428908400819642,"FALSE","NOT"
"233","ACVR1","203935_at",-0.254105047273434,7.1063866923933,0.167503465452455,0.682340155012261,"FALSE","NOT"
"234","ACVR1B","213198_at",0.117927775192423,2.06185343246133,0.0430800706537533,0.835574576634379,"FALSE","NOT"
"235","ACVR1C","1563182_at",0.0485511954242437,1.50712980055934,0.00560155792054573,0.94033918605764,"FALSE","NOT"
